Tl209	129.72	42	 s	129720	0		
Tl211	80	18	 s	80000	0.022		
Tl210	78	18	 s	78000	0.000085		
Hg210	64	12	 s	64000	0.022		
Rb91	57.9	2	 s	57900	0		
Br87	55.64	15	 s	55640	0.0253		
Au206	47	15	 s	47000	0		
Tl212	34	13	 s	34000	0.018		
Hg211	26.4	81	 s	26400	0.063		
Cs141	24.91	6	 s	24910	0.000342		
I137	24.59	10	 s	24590	0.0763		
Tl213	24.4	44	 s	24400	0.076		
Te136	17.67	9	 s	17670	0.0137		
Br88	16.29	8	 s	16290	0.0672		
Se86	14.1	2	 s	14100	0		
Be11	13740	80	 ms	13740	0		
Sc51	12400	100	 ms	12400	0		
Tl214	11	24	 s	11000	0.34		
Bi219	10.6	47	 s	10600	0		
Ca51	10000	800	 ms	10000	0		
Tl215	9.7	38	 s	9700	0.046		
Bi220	9.5	57	 s	9500	0		
Kr91	8.57	4	 s	8570	0		
Sc52	8200	200	 ms	8200	0		
K48	6830	20	 ms	6830	0.0114		
I138	6.251	31	 s	6251	0.053		
Hg209	6	1	 s	6000	0		
Tl216	5.9	33	 s	5900	0		
Rb93	5.85	3	 s	5850	0.016		
P36	5700	400	 ms	5700	0		
Se87	5.65	12	 s	5650	0.006		
Tb169	5.13	32	 s	5130	0		
Nb104	4.9	4	 s	4900	0.0006		
Ca52	4600	300	 ms	4600	0		
Rb92	4.5	2	 s	4500	0.000109		
Br89	4.338	22	 s	4338	0.137		
Pr153	4.29	11	 s	4290	0		
F22	4230	40	 ms	4230	0		
Cu73	4.2	15	 s	4200	0.00029		
N*17	4171	4	 ms	4171	0.951		
La147	4.073	23	 s	4073	0.00043		
As84	4.03	6	 s	4030	0.00281		
Y97	3.74	5	 s	3740	0.00058		
Ho174	3.2	11	 s	3200	0		
Cl43	3175	90	 ms	3175	0		
Nb105	2.91	7	 s	2910	0.017		
Rb94	2.704	15	 s	2704	0.1039		
S41	2600	1400	 ms	2600	0		
Eu165	2.53	26	 s	2530	0		
Te137	2.5	5	 s	2500	0.0291		
Sc53	2400	600	 ms	2400	0		
P37	2310	120	 ms	2310	0		
Pr154	2.3	1	 s	2300	0		
I139	2.28	11	 s	2280	0.0974		
O22	2250	90	 ms	2250	0		
F23	2230	140	 ms	2230	0		
Ta192	2.2	7	 s	2200	0		
As85	2.023	7	 s	2023	0.625		
Br90	1.911	10	 s	1911	0.256		
Ga80	1.9	1	 s	1900	0.009		
Ge83	1.85	6	 s	1850	0		
Kr92	1.841	8	 s	1841	0.000332		
Xe141	1.728	13	 s	1728	0.000433		
Cs142	1.687	14	 s	1687	0.000916		
Sb135	1.668	10	 s	1668	0.2		
Cu74	1.598	14	 s	1598	0.00075		
Ni72	1587	93	 ms	1587	0		
Se88	1.51	6	 s	1510	0.0099		
Pm159	1.49	18	 s	1490	0		
Zn78	1.47	15	 s	1470	0		
Pr155	1.47	3	 s	1470	0		
Te138	1.46	32	 s	1460	0.0482		
Sm164	1.43	24	 s	1430	0		
Sn133	1.42	6	 s	1420	0.000294		
Zr103	1.38	72	 s	1380	0		
La148	1.34	7	 s	1340	0.0019		
Eu167	1.33	51	 s	1330	0		
Eu166	1.31	-5	 s	1310	0		
Kr93	1.284	12	 s	1284	0.0199		
K*49	1263	50	 ms	1263	0.86		
Tb171	1.24	-1	 s	1240	0		
Ar47	1230	30	 ms	1230	0		
Sm163	1.23	4	 s	1230	0		
Cu75	1.224	3	 s	1224	0.027		
Xe142	1.222	20	 s	1222	0.0036		
Ga81	1.217	4	 s	1217	0.125		
La149	1.091	34	 s	1091	0.0141		
In127	1.087	11	 s	1087	0		
Nb106	1.084	21	 s	1084	0.045		
Sr96	1.069	13	 s	1069	0
Pm161	1.05	15	 s	1050	0		
S42	1030	30	 ms	1030	0		
Cs144	0.989	5	 s	989	0.0298		
Sm165	0.98	21	 s	980	0		
Tb170	0.96	78	 s	960	0		
Ge84	0.952	11	 s	952	0.106		
As86	0.944	10	 s	944	0.345		
Ag120	0.94	10	 s	940	0		
Sb136	0.924	14	 s	924	0.2518		
Zr104	0.92	28	 s	920	0		
Pd119	0.92	11	 s	920	0		
Tc110	0.911	14	 s	911	0.0004		
Sn134	0.902	28	 s	902	0.17		
Fr233	0.9	1	 s	900	0		
Ba147	0.894	7	 s	894	0.00066		
Tc109	0.89	7	 s	890	0.0008		
Ce153	0.865	25	 s	865	0		
Ni73	842	30	 ms	842	0		
Nd158	0.82	-21	 s	820	0		
Fe65	805	10	 ms	805	0		
Sm166	0.8	63	 s	800	0		
Si35	780	120	 ms	780	0		
Tb172	0.76	19	 s	760	0		
C*16	754.6	80	 ms	754.6	0.9928		
Gd169	0.75	21	 s	750	0		
Zn79	0.746	42	 s	746	0.0175		
Y100	0.732	5	 s	732	0.0102		
Pm160	0.725	57	 s	725	0		
Te139	0.724	81	 s	724	0		
Ce154	0.722	14	 s	722	0		
Mn61	709	8	 ms	709	0		
Mo109	0.692	26	 s	692	0.013		
Rh116	0.69	5	 s	690	0		
Sb134	0.675	5	 s	675	0		
Zr105	0.666	28	 s	666	0		
Sr98	0.653	2	 s	653	0.0023		
Cl44	650	50	 ms	650	0		
Al31	644	25	 ms	644	0		
Cu76	0.637	8	 s	637	0.072		
Pm162	0.63	18	 s	630	0		
N18	619	2	 ms	619	0.109		
Ba148	0.617	18	 s	617	0.0039		
P38	610	140	 ms	610	0.12		
Ga82	0.601	2	 s	601	0.227		
I140	0.59	16	 s	590	0.0788		
Cs145	0.582	6	 s	582	0.135		
Zn80	0.5619	30	 s	561.9	0.0136		
Y98	0.548	2	 s	548	0.0033		
Br91	0.544	10	 s	544	0.304		
Ag122	0.529	19	 s	529	0.00186		
Sc54	526	15	 ms	526	0.16		
Sn135	0.516	5	 s	516	0.21		
Xe143	0.511	6	 s	511	0.01		
La150	0.51	2	 s	510	0.0269		
Ni74	507.7	46	 ms	507.7	0		
Sb137	0.506	25	 s	506	0.49		
Ge85	0.497	6	 s	497	0.162		
Cr60	492	13	 ms	492	0		
Pd120	0.492	33	 s	492	0		
Nd159	0.485	19	 s	485	0		
As87	0.484	35	 s	484	0.154		
K50	472	4	 ms	472	0.286		
Cu77	0.4698	20	 s	469.8	0.301		
Ca53	461	90	 ms	461	0.4		
La151	0.457	12	 s	457	0		
Si36	450	60	 ms	450	0.124		
Cd127	0.45	4	 s	450	0		
Pr156	0.444	6	 s	444	0		
Se89	0.44	6	 s	440	0.078		
Nd160	0.439	37	 s	439	0		
Pm163	0.43	35	 s	430	0		
Fe66	429	28	 ms	429	0		
Sr97	0.429	5	 s	429	0.0003		
Ar48	424	24	 ms	424	0.38		
Rh117	0.42	4	 s	420	0		
I141	0.42	8	 s	420	0.212		
Gd170	0.41	-7	 s	410	0		
Cl45	400	43	 ms	400	0.24		
Y102	0.396	36	 s	396	0.06		
Fe67	395	9	 ms	395	0		
Xe144	0.388	7	 s	388	0.03		
F24	382	16	 ms	382	0		
Rb95	0.378	2	 s	378	0.088		
K51	365	5	 ms	365	0.65		
Sn136	0.361	5	 s	361	0.27		
Ba149	0.352	6	 s	352	0.022		
Te140	0.351	5	 s	351	0		
V57	347	10	 ms	347	0		
N19	336	3	 ms	336	0.418		
Br92	0.334	14	 s	334	0.331		
Ni75	331.8	32	 ms	331.8	0.1		
Cu78	0.3317	20	 s	331.7	0.51		
Co67	329	28	 ms	329	0		
Sb138	0.322	7	 s	322	0.72		
Cs146	0.3217	10	 s	321.7	0.143		
Ru115	0.318	19	 s	318	0		
Mg30	317	5	 ms	317	0		
Ce155	0.313	7	 s	313	0		
Ga83	0.31	1	 s	310	0.67		
Nd162	0.31	20	 s	310	0		
Tc112	0.305	10	 s	305	0.017		
Na27	300	7	 ms	300	0.0013		
Ag123	0.3	8	 s	300	0.0085		
Zn81	0.299	36	 s	299	0.18		
La152	0.298	-17	 s	298	0		
Pr157	0.295	18	 s	295	0		
Tc111	0.294	20	 s	294	0.0085		
Pd121	0.29	1	 s	290	0		
Nb107	0.287	11	 s	287	0.074		
Rh118	0.286	10	 s	286	0.021		
In130	0.275	8	 s	275	0.012		
S43	273	27	 ms	273	0.4		
Se91	0.27	5	 s	270	0.21		
Sr99	0.269	2	 s	269	0.00096		
In131	0.266	8	 s	266	0.0221		
Ba150	0.258	5	 s	258	0		
La153	0.245	18	 s	245	0		
Cu79	0.2413	21	 s	241.3	0.66		
Mg31	236	20	 ms	236	0.062		
Ar49	236	8	 ms	236	0.29		
Y103	0.236	16	 s	236	0.081		
I142	0.235	11	 s	235	0		
Ni76	234.7	27	 ms	234.7	0.14		
Cr61	234	10	 ms	234	0		
Ce156	0.233	9	 s	233	0		
Cl46	232	2	 ms	232	0.6		
Cs147	0.2295	10	 s	229.5	0.285		
Ge86	0.222	22	 s	222	0.45		
Sn137	0.221	17	 s	221	0.5		
V56	216	4	 ms	216	0		
Nd161	0.215	76	 s	215	0		
Y104	0.212	20	 s	212	0.34		
Kr94	0.211	5	 s	211	0.0111		
P39	204	45	 ms	204	0.26		
Co69	203	17	 ms	203	0		
Ru116	0.203	6	 s	203	0		
Rb96	0.2016	10	 s	201.6	0.141		
Sr100	0.2007	13	 s	200.7	0.0111		
Ti56	200	5	 ms	200	0		
Cr62	200	12	 ms	200	0		
As88	0.2	11	 s	200	0		
Eu168	0.2	10	 s	200	0		
Co68	199	30	 ms	199	0		
Ne26	195	2	 ms	195	0.0013		
Se90	0.195	30	 s	195	0		
Te141	0.193	16	 s	193	0		
Nb108	0.192	6	 s	192	0.063		
C17	191	6	 ms	191	0.284		
V58	190	10	 ms	190	0		
Rh119	0.189	6	 s	189	0.034		
Fe68	188	6	 ms	188	0		
Xe145	0.188	4	 s	188	0.05		
Mo111	0.186	9	 s	186	0		
Sb139	0.182	9	 s	182	0.9		
I143	0.182	8	 s	182	0		
Pr158	0.181	14	 s	181	0		
Li*9	178.2	4	 ms	178.2	0.505		
Zn82	0.1779	25	 s	177.9	0.69		
Zr106	0.175	7	 s	175	0		
Ce157	0.175	41	 s	175	0		
Sb140	0.17	7	 s	170	0.382		
