rhos,six_group,single_group
-0.00065,-172.003022797461,-143.014129150906
-0.0007133741975704866,-161.039715575397,-131.463921454290
-0.0007829273011682083,-151.177674657081,-120.939804418699
-0.0008592617465029188,-142.332932856334,-111.350623113280
-0.0009430387060223608,-134.429326592879,-102.613320563196
-0.0010349838156717098,-127.397118643649,-94.6522183485650
-0.0011358934600049944,-121.171471903430,-87.3983611128248
-0.0012466416700871177,-115.690830574030,-80.7889193029818
-0.0013681876939328134,-110.895358637155,-74.7666449685914
-0.0015015843050540537,-106.725675547664,-69.2793759058769
-0.0016479869210805726,-103.122158930482,-64.2795838521691
-0.0018086636114346306,-100.025000541012,-59.7239628173752
-0.0019850060807417203,-97.3750065542281,-55.5730539868546
-0.0021785417231102474,-95.1149079820227,-51.7909039468452
-0.002390946851688612,-93.1908085128790,-48.3447532722138
-0.0026240612180877605,-91.5534108627896,-45.2047527792884
-0.0028799039474295225,-90.1587988602590,-42.3437049861561
-0.0031606910270424804,-88.9687227255214,-39.7368285411360
-0.0034688545002841014,-87.9504628159365,-37.3615435790722
-0.0038070635317368337,-87.0764049410232,-35.1972761463444
-0.004178247526234809,-86.3234611715420,-33.2252800006422
-0.004585621501967119,-85.6724410937334,-31.4284742420213
-0.005032713937427327,-85.1074422965939,-29.7912953688596
-0.005523397333406189,-84.6152977920408,-28.2995624772515
-0.006061921754740929,-84.1850959862386,-26.9403544361957
-0.006652951642343671,-83.8077751889967,-25.7018979746402
-0.007301606214357179,-83.4757873305592,-24.5734657109462
-0.008013503806373432,-83.1828223537691,-23.5452832414351
-0.008794810534768749,-82.9235839578605,-22.6084444831452
-0.009652293704654022,-82.6936078388920,-21.7548345374192
-0.010593380425034188,-82.4891145990989,-20.9770594060940
-0.011626221938873327,-82.3068906888078,-20.2683819514338
-0.012759764225261764,-82.1441918982667,-19.6226635450442
-0.014003825485207247,-81.9986649433840,-19.0343109003053
-0.015369181182195154,-81.8682835607444,-18.4982276277801
-0.01686765737409829,-81.7512962459741,-18.0097700939873
-0.01851223314483271,-81.6461833517367,-17.5647072012202
-0.020317153022973537,-81.5516217279551,-17.1591837400770
-0.022298050361046973,-81.4664554577523,-16.7896869973247
-0.02447208274415105,-81.3896715364361,-16.4530163299247
-0.0268580806007497,-81.3203795732071,-16.1462554417481
-0.029476710302835798,-81.2577947789441,-15.8667471229181
-0.03235065316815872,-81.2012236487207,-15.6120702330455
-0.035504801914948224,-81.1500518628354,-15.3800187290574
-0.03896647627073118,-81.1037340215500,-15.1685825560198
-0.04276565960274194,-81.0617849014992,-14.9759302354856
-0.04693525861950554,-81.0237719798283,-14.8003930005962
-0.051511388393004655,-80.9893090186404,-14.6404503405527
-0.056533685170155924,-80.9580505397030,-14.4947168292735
-0.06204564968301922,-80.9296870494964,-14.3619301241721
-0.06809502393132823,-80.9039408990457,-14.2409400311174
-0.07473420470085289,-80.8805626827538,-14.1306985408688
-0.08202069739929137,-80.8593280965540,-14.0302507506893
-0.09001761414060175,-80.8400351888557,-13.9387265925029
-0.09879422039194076,-80.8225019485447,-13.8553332959465
-0.10842653491800383,-80.8065641831727,-13.7793485210297
-0.11899798821919902,-80.7920736477929,-13.7101141009159
-0.1306001451667281,-80.7788963909676,-13.6470303406196
-0.14333349809369797,-80.7669112895084,-13.5895508222313
-0.15730833721163492,-80.7560087477154,-13.5371776716692
-0.17264570589153463,-80.7460895403919,-13.4894572459522
-0.1894784490836366,-80.7370637818584,-13.4459762036339
-0.20795236395682998,-80.7288500056723,-13.4063579243549
-0.22822746272398373,-80.7213743418524,-13.3702592464959
-0.25047935859118453,-80.7145697801804,-13.3373674946695
-0.2749007868353174,-80.7083755096622,-13.3073977712999
-0.30170327418483084,-80.7027363255091,-13.2800904888261
-0.3311189709630647,-80.6976020961040,-13.2552091211518
-0.36340266186329484,-80.6929272833523,-13.2325381548621
-0.3988339727718564,-80.6886705106300,-13.2118812224583
-0.43771979275380385,-80.6847941732360,-13.1930594014395
-0.4803969321791759,-80.6812640868613,-13.1759096644972
-0.5272350400132967,-80.6780491701087,-13.1602834673958
-0.5786398055392755,-80.6751211575510,-13.1460454623080
-0.6350564722444967,-80.6724543402149,-13.1330723254580
-0.6969736943067107,-80.6700253307191,-13.1212516889177
-0.7649277690827494,-80.6678128506036,-13.1104811673026
-0.8395072822596745,-80.6657975376508,-13.1006674709358
-0.9213582059024239,-80.6639617712331,-13.0917255977981
-1.011189493554807,-80.6622895139312,-13.0835780972662
-1.1097792208559498,-80.6607661678473,-13.0761543992583
-1.2179813248592501,-80.6593784442016,-13.0693902029792
-1.3367330004266247,-80.6581142449432,-13.0632269199685
-1.4670628177620488,-80.6569625552348,-13.0576111666272
-1.6100996313946123,-80.6559133457837,-13.0524943018283
-1.7670823577764125,-80.6549574840953,-13.0478320056056
-1.939370706184171,-80.6540866538136,-13.0435838952703
-2.1284569558705257,-80.6532932813953,-13.0397131756321
-2.3359788814730087,-80.6525704694389,-13.0361863202937
-2.563733938634479,-80.6519119360517,-13.0329727812587
-2.8136948327039897,-80.6513119597005,-13.0300447243372
-3.0880266053668186,-80.6507653290403,-13.0273767880575
-3.3891053871997983,-80.6502672972680,-13.0249458639958
-3.719538978577643,-80.6498135405843,-13.0227308966210
-4.082189437192269,-80.6494001203933,-13.0207127009205
-4.480197867827306,-80.6490234488964,-13.0188737962279
-4.9170116291050885,-80.6486802577753,-13.0171982548133
-5.396414192857839,-80.6483675696826,-13.0156715639243
-5.922557914750683,-80.6480826722873,-13.0142805000830
-6.5,-80.6478230946432,-13.0130130145499
